"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 01 15:16:17 IST 2024","Fri Mar 01 15:16:33 IST 2024","15790","Testcases","test_UserRegistration","Test_UserRegistration","","","test_UserReg",""
"passed","Fri Mar 01 15:16:17 IST 2024","Fri Mar 01 15:16:59 IST 2024","42213","Testcases","test_Amountverification","Test_Amount","","","test_Amount_verify",""
"passed","Fri Mar 01 15:16:17 IST 2024","Fri Mar 01 15:16:44 IST 2024","26425","Testcases","test_checklist","Test_list","","","test_checklist",""
"passed","Fri Mar 01 15:16:10 IST 2024","Fri Mar 01 15:16:17 IST 2024","7474","Testcases","test_CredKartUserProfile","Test_UserLogin","","","test_UserLogin1",""
